"Name","Season","Team","Salary (millions)"
"Tim Duncan",1998,"SAS",2.97
"Tim Duncan",1999,"SAS",3.41
"Tim Duncan",2000,"SAS",3.86
"Tim Duncan",2001,"SAS",9.66
"Tim Duncan",2002,"SAS",10.87
"Tim Duncan",2003,"SAS",12.07
"Tim Duncan",2004,"SAS",12.68
"Tim Duncan",2005,"SAS",14.26
"Tim Duncan",2006,"SAS",15.85
"Tim Duncan",2007,"SAS",17.43
"Tim Duncan",2008,"SAS",19.01
"Tim Duncan",2009,"SAS",20.6
"Tim Duncan",2010,"SAS",22.18
"Tim Duncan",2011,"SAS",18.7
"Tim Duncan",2012,"SAS",21.16
"Tim Duncan",2013,"SAS",9.64
"Tim Duncan",2014,"SAS",10.36
